MIST	
Room	ID	Volume	Net Lettable	Circulation	Occupancy	Floor - Ground	Floor - Upper	Floor - Total	Floor - Void	Floor - Win	Floor - Door	Floor - Hole	Floor - WinCount	Floor - DoorCount	Floor - HoleCount	Roof - Gross	Roof - Net	Roof - Win	Roof - Door	Roof - Hole	Roof - WinCount	Roof - DoorCount	Roof - HoleCount	Ceiling	Ext. Wall - Gross	Ext. Wall - Net	Ext. Wall - Win	Ext. Wall - Door	Ext. Wall - Hole	Ext. Wall - WinCount	Ext. Wall - DoorCount	Ext. Wall - HoleCount	Ext. Wall - Adj	Partition - Gross	Partition - Net	Partition - Win	Partition - Door	Partition - Hole	 Partition - DoorCount	 Partition - WinCount	 Partition - HoleCount	
hi-bay#	HBY_0177	81.8970	 23.3990	 0.0000	 0	 23.3990	 0.0000	 23.3990	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 23.3990	 20.2150	 20.2150	 0.0000	 0.0000	 0.0000	 0	 0	 0	 48.5730	 48.5730	 48.5730	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0178	380.6030	 108.7440	 0.0000	 0	 108.7440	 0.0000	 108.7440	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 4.9550	 4.9550	 0.0000	 0.0000	 0.0000	 0	 0	 0	 103.7900	 116.3710	 108.8900	 7.4810	 0.0000	 0.0000	 4	 0	 0	 48.5730	 48.5730	 48.5730	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0179	212.0720	 60.5920	 0.0000	 0	 60.5920	 0.0000	 60.5920	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 60.5930	 62.9490	 47.8480	 15.1010	 0.0000	 0.0000	 1	 0	 0	 47.1660	 47.1660	 47.1660	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0180	201.0300	 57.4370	 0.0000	 0	 57.4370	 0.0000	 57.4370	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 57.4370	 53.1720	 53.1720	 0.0000	 0.0000	 0.0000	 0	 0	 0	 53.8620	 53.8620	 53.8620	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0181	164.9730	 47.1350	 0.0000	 0	 47.1350	 0.0000	 47.1350	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 47.1350	 38.1400	 28.3320	 9.8080	 0.0000	 0.0000	 2	 0	 0	 60.5580	 60.5580	 60.5580	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0182	117.6230	 33.6070	 0.0000	 0	 33.6070	 0.0000	 33.6070	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 11.9640	 11.9640	 0.0000	 0.0000	 0.0000	 0	 0	 0	 21.6420	 57.9810	 57.9810	 0.0000	 0.0000	 0.0000	 0	 0	 0	 30.2790	 30.2790	 30.2790	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0183	102.5380	 29.2970	 0.0000	 0	 29.2970	 0.0000	 29.2970	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 29.2960	 53.5850	 53.5850	 0.0000	 0.0000	 0.0000	 0	 0	 0	 26.5030	 26.5030	 26.5030	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0184	259.9660	 74.2760	 0.0000	 0	 74.2760	 0.0000	 74.2760	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 74.2760	 95.1640	 39.3670	 55.7970	 0.0000	 0.0000	 6	 0	 0	 26.5030	 26.5030	 26.5030	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0185	24.1630	 6.9040	 0.0000	 0	 6.9040	 0.0000	 6.9040	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 6.9040	 30.7550	 30.7550	 0.0000	 0.0000	 0.0000	 0	 0	 0	 23.5830	 23.5830	 23.5830	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0186	133.4820	 38.1380	 0.0000	 0	 0.0000	 38.1380	 38.1380	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 38.1370	 6.6320	 6.6320	 0.0000	 0.0000	 0.0000	 0	 0	 0	 140.8940	 140.8940	 140.8940	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0187	151.4770	 43.2790	 0.0000	 0	 0.0000	 43.2790	 43.2790	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 43.2780	 46.7930	 7.7810	 39.0120	 0.0000	 0.0000	 2	 0	 0	 46.7930	 46.7930	 46.7930	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0188	81.7170	 23.3480	 0.0000	 0	 0.0000	 23.3480	 23.3480	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 23.3480	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 70.2060	 70.2060	 70.2060	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0189	154.1720	 44.0490	 0.0000	 0	 0.0000	 44.0490	 44.0490	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 44.0490	 42.8990	 42.8990	 0.0000	 0.0000	 0.0000	 0	 0	 0	 107.1030	 107.1030	 107.1030	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0190	293.7100	 83.9180	 0.0000	 0	 37.0590	 46.8590	 83.9180	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 83.9180	 31.3170	 5.2070	 26.1100	 0.0000	 0.0000	 3	 0	 0	 103.2020	 104.5230	 103.2020	 1.3210	 0.0000	 0.0000	 0	 1	 0	 
hi-bay#	HBY_0191	71.1490	 20.3280	 0.0000	 0	 1.8210	 18.5070	 20.3280	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 20.3280	 30.6050	 5.0890	 25.5160	 0.0000	 0.0000	 2	 0	 0	 42.2840	 42.2840	 42.2840	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0192	45.8600	 13.1030	 0.0000	 0	 0.0000	 13.1030	 13.1030	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 13.1030	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 55.0540	 55.0540	 55.0540	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0193	210.2620	 60.0750	 0.0000	 0	 7.4800	 52.5950	 60.0750	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 60.0750	 22.4870	 22.4870	 0.0000	 0.0000	 0.0000	 0	 0	 0	 89.5200	 89.5200	 89.5200	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0194	710.1990	 202.9130	 0.0000	 0	 48.7640	 154.1490	 202.9130	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 202.9130	 130.1310	 45.2210	 84.9100	 0.0000	 0.0000	 8	 0	 0	 95.5590	 95.5590	 95.5590	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0195	137.6930	 39.3410	 0.0000	 0	 23.8880	 15.4530	 39.3410	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 39.3400	 64.1550	 64.1550	 0.0000	 0.0000	 0.0000	 0	 0	 0	 40.1470	 40.1470	 40.1470	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0196	420.5680	 120.1620	 0.0000	 0	 95.6550	 24.5070	 120.1620	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 120.1630	 150.9910	 67.7080	 83.2830	 0.0000	 0.0000	 5	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0197	36.9760	 10.5650	 0.0000	 0	 10.5650	 0.0000	 10.5650	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 10.5650	 11.6830	 11.6830	 0.0000	 0.0000	 0.0000	 0	 0	 0	 33.8370	 33.8370	 33.8370	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0198	174.3060	 49.8020	 0.0000	 0	 8.5060	 41.2960	 49.8020	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 49.8020	 26.9480	 26.9480	 0.0000	 0.0000	 0.0000	 0	 0	 0	 85.0880	 85.0880	 85.0880	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0129	205.8380	 58.8110	 0.0000	 0	 1.7780	 57.0330	 58.8110	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 58.8110	 41.7450	 34.3310	 7.4140	 0.0000	 0.0000	 1	 0	 0	 103.7530	 103.7530	 103.7530	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0109	33.9870	 9.7100	 0.0000	 0	 6.4700	 3.2400	 9.7100	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 9.7100	 17.7500	 2.9520	 14.7980	 0.0000	 0.0000	 2	 0	 0	 13.4040	 13.4040	 13.4040	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
hi-bay#	HBY_0112	143.5320	 41.0090	 0.0000	 0	 0.0000	 41.0090	 41.0090	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0	 0	 0	 41.0090	 44.9650	 7.4770	 37.4880	 0.0000	 0.0000	 2	 0	 0	 44.9650	 44.9650	 44.9650	 0.0000	 0.0000	 0.0000	 0	 0	 0	 
